Nest_ID,Egg_num,Length,Width
03barrdunl507,4,38.4,26.0
03barrdunl508,1,35.5,25.0
03barrdunl508,2,37.3,24.9
03barrdunl508,3,34.9,25.0
03barrdunl508,4,34.5,24.9
03barrdunl509,1,37.0,26.1
03barrdunl509,2,36.9,25.7
03barrdunl509,3,36.5,25.7
03barrdunl509,4,36.6,25.9
03barrdunl701,1,35.7,25.6
03barrdunl701,2,37.4,25.0
03barrdunl701,3,35.5,25.3
03barrdunl701,4,35.1,25.3
03barrlbdo005,1,43.3,31.8
03barrlbdo005,2,44.7,31.6
03barrlbdo005,3,43.8,32.0
03barrlbdo005,4,43.5,31.2
03barrlbdo016,1,45.4,30.5
03barrlbdo016,2,45.6,30.9
03barrlbdo016,3,44.1,30.7
03barrlbdo407,1,44.7,29.6
03barrlbdo407,2,42.8,30.1
03barrlbdo407,3,44.0,30.3
03barrlbdo407,4,43.1,30.1
03barrpesa014,1,37.6,25.0
03barrpesa014,2,37.6,25.4
03barrpesa014,3,35.9,25.1
03barrpesa014,4,36.4,25.6
03barrpesa204,1,39.1,26.0
03barrpesa204,2,37.9,26.1
03barrpesa204,3,37.9,26.0
03barrpesa204,4,37.6,26.0
03barrpesa315,1,35.9,27.0
03barrpesa315,2,37.2,26.7
03barrpesa315,3,35.6,27.1
03barrpesa315,4,38.4,26.3
03barrpesa318,1,35.7,25.9
03barrpesa318,2,36.0,25.8
03barrpesa318,3,34.7,25.3
03barrpesa318,4,35.6,25.6
03barrpesa328,1,37.4,27.0
03barrpesa328,2,37.5,27.5
03barrpesa328,3,36.3,27.2
03barrpesa328,4,36.2,26.9
03barrpesa329,1,38.7,26.5
03barrpesa329,2,38.0,26.1
03barrpesa329,3,39.8,26.6
03barrpesa329,4,38.5,26.2
03barrpesa403,1,37.6,27.1
03barrpesa403,2,37.1,27.1
03barrpesa403,3,37.6,27.2
03barrpesa403,4,37.0,27.2
03barrpesa404,1,35.7,26.6
03barrpesa404,2,38.1,26.3
03barrpesa404,3,37.7,27.0
03barrpesa404,4,38.0,26.4
03barrpesa413,1,38.4,26.6
03barrpesa413,2,38.1,26.3
03barrpesa413,3,37.8,26.0
03barrpesa413,4,36.6,26.3
03barrpesa510,1,37.4,27.0
03barrpesa510,2,39.1,26.6
03barrpesa510,3,38.3,26.5
03barrpesa510,4,37.4,26.6
03barrpesa513,1,36.4,26.0
03barrpesa513,2,37.1,27.4
03barrpesa513,3,37.2,27.6
03barrpesa513,4,36.7,27.7
03barrreph002,1,32.0,22.6
03barrreph002,2,32.7,21.8
03barrreph002,3,32.2,21.9
03barrreph002,4,33.3,22.0
03barrreph004,1,31.9,22.4
03barrreph004,2,31.5,22.5
03barrreph004,3,32.3,22.7
03barrreph004,4,32.7,22.7
03barrreph006,1,32.5,23.4
03barrreph006,2,31.4,22.4
03barrreph006,3,31.0,22.8
03barrreph006,4,31.1,22.6
03barrreph010,1,35.2,23.8
03barrreph010,2,35.3,22.3
03barrreph010,3,34.8,22.3
03barrreph010,4,35.4,22.4
03barrreph015,1,31.9,22.4
03barrreph015,2,31.6,22.0
03barrreph015,3,31.9,22.4
03barrreph015,4,31.2,22.1
03barrreph105,1,31.3,22.6
03barrreph105,2,30.6,22.2
03barrreph105,3,32.6,22.6
03barrreph105,4,31.4,21.9
03barrreph206,1,33.5,22.6
03barrreph206,2,32.3,23.4
03barrreph206,3,33.0,22.8
03barrreph206,4,33.0,22.6
03barrreph208,1,31.3,22.8
03barrreph208,2,32.4,22.4
03barrreph208,3,32.0,22.6
03barrreph208,4,31.5,22.0
03barrreph209,1,33.0,22.4
03barrreph209,2,32.8,22.1
03barrreph209,3,32.1,22.3
03barrreph211,1,32.0,22.3
03barrreph211,2,31.4,22.6
03barrreph211,3,30.6,22.7
03barrreph211,4,30.6,22.6
03barrreph302,1,31.3,22.5
03barrreph302,2,32.1,23.0
03barrreph302,3,32.3,23.2
03barrreph302,4,30.4,22.9
03barrreph307,1,30.2,21.5
03barrreph307,2,31.3,21.4
03barrreph307,3,30.0,21.9
03barrreph307,4,30.8,21.4
03barrreph308,1,31.2,22.7
03barrreph308,2,31.2,22.5
03barrreph308,3,32.1,22.4
03barrreph308,4,32.4,22.3
03barrreph310,1,31.0,22.8
03barrreph310,2,33.4,23.2
03barrreph310,3,33.5,23.0
03barrreph310,4,31.9,22.9
03barrreph311,1,32.7,22.0
03barrreph311,2,30.8,21.6
03barrreph311,3,31.4,22.1
03barrreph314,1,30.3,21.6
03barrreph314,2,31.0,21.4
03barrreph314,3,30.3,21.5
03barrreph317,1,32.0,21.0
03barrreph317,2,31.6,21.1
03barrreph317,3,32.1,21.4
03barrreph317,4,31.9,21.1
03barrreph320,1,31.0,22.0
03barrreph320,2,31.7,22.1
03barrreph320,4,31.0,22.1
03barrreph322,1,32.1,22.1
03barrreph322,2,31.5,22.2
03barrreph322,3,31.9,21.9
03barrreph322,4,32.2,22.5
03barrreph324,1,33.2,22.5
03barrreph324,2,33.6,22.0
03barrreph324,3,32.4,22.7
03barrreph324,4,33.0,22.8
03barrreph325,1,30.2,22.3
03barrreph325,2,31.5,22.6
03barrreph325,3,31.8,22.6
03barrreph325,4,31.8,22.2
03barrreph326,1,30.9,21.5
03barrreph326,2,30.7,22.0
03barrreph326,3,31.3,20.9
03barrreph326,4,30.5,21.1
03barrreph405,1,29.9,22.5
03barrreph405,2,30.5,22.7
03barrreph405,3,31.4,22.2
03barrreph405,4,31.0,22.6
03barrreph406,1,32.2,23.0
03barrreph406,2,32.9,22.5
03barrreph406,3,33.7,22.5
03barrreph409,1,31.3,22.1
03barrreph409,2,32.8,22.0
03barrreph409,3,32.6,22.1
03barrreph409,4,31.9,22.1
03barrreph411,1,31.5,21.3
03barrreph411,2,31.2,21.7
03barrreph411,3,31.0,22.1
03barrreph411,4,30.6,22.2
03barrreph511,1,32.2,21.2
03barrreph511,2,30.3,21.0
03barrreph511,3,31.2,21.1
03barrreph511,4,31.3,20.9
03barrrnph408,1,27.8,20.3
03barrrnph408,2,29.3,20.4
03barrrnph408,3,27.5,21.0
03barrrnph410,1,30.6,20.9
03barrrnph410,2,30.6,20.9
03barrrnph410,3,30.0,20.9
03barrrnph410,4,30.3,20.8
03barrsesa007,1,29.9,20.6
03barrsesa007,2,29.0,21.0
03barrsesa007,3,29.7,20.6
03barrsesa007,4,29.5,21.0
03barrsesa501,1,28.4,21.9
03barrsesa501,2,29.0,21.9
03barrsesa501,3,29.1,22.0
03barrsesa501,4,30.5,21.6
03barrsesa502,1,30.5,21.2
03barrsesa502,2,29.3,21.6
03barrsesa502,3,29.7,21.4
03barrsesa506,1,30.1,22.6
03barrsesa506,2,30.4,22.3
03barrsesa506,3,30.0,22.4
03barrsesa506,4,30.5,21.7
04barramgp012,1,51.0,34.5
04barramgp012,2,48.8,35.3
04barramgp012,3,48.1,34.5
04barramgp012,4,50.8,34.5
04barramgp024,1,49.7,33.6
04barramgp024,2,49.5,33.5
04barramgp024,3,47.7,33.7
04barramgp024,4,50.3,33.3
04barramgp116,1,47.2,32.7
04barramgp116,2,48.8,33.8
04barramgp116,3,51.2,34.5
04barramgp116,4,50.7,33.9
04barramgp242,1,46.1,33.5
04barramgp242,2,46.1,33.5
04barramgp242,3,45.0,33.4
04barramgp244,1,45.2,34.0
04barramgp244,2,46.2,33.2
04barramgp244,3,46.0,33.7
04barramgp244,4,45.4,34.1
04barramgp345,1,49.7,33.4
04barramgp345,2,51.3,34.5
04barramgp345,3,49.5,34.5
04barramgp345,4,50.2,34.4
04barramgp435,1,50.1,34.3
04barramgp435,2,51.2,35.3
04barrdunl013,1,37.2,24.9
04barrdunl013,2,37.0,24.6
04barrdunl013,3,35.9,25.0
04barrdunl013,4,36.4,25.1
04barrdunl017,1,37.5,25.5
04barrdunl017,2,35.8,25.5
04barrdunl017,3,37.4,25.6
04barrdunl017,4,37.2,26.2
04barrdunl025,1,37.3,26.0
04barrdunl025,2,37.2,25.6
04barrdunl025,3,34.9,25.9
04barrdunl025,4,36.3,25.6
04barrdunl029,1,38.9,25.3
04barrdunl029,2,37.4,25.6
04barrdunl029,3,37.6,25.3
04barrdunl029,4,39.3,25.8
04barrdunl037,1,36.8,25.2
04barrdunl037,2,37.5,25.5
04barrdunl037,3,36.1,25.7
04barrdunl037,4,37.1,25.7
04barrdunl108,1,36.3,25.7
04barrdunl108,2,36.3,25.7
04barrdunl108,3,37.8,26.0
04barrdunl108,4,36.4,26.0
04barrdunl109,1,37.3,26.1
04barrdunl109,2,37.8,26.2
04barrdunl109,3,37.4,25.9
04barrdunl109,4,37.7,26.5
04barrdunl112,1,36.8,25.7
04barrdunl112,2,36.6,26.2
04barrdunl112,3,39.0,26.1
04barrdunl112,4,36.5,26.0
04barrdunl113,1,37.4,26.3
04barrdunl113,2,37.5,25.9
04barrdunl113,3,36.7,26.4
04barrdunl113,4,36.3,25.7
04barrdunl115,1,36.5,25.2
04barrdunl115,2,35.9,25.8
04barrdunl115,3,37.4,25.4
04barrdunl115,4,36.5,25.1
04barrdunl201,1,37.1,25.1
04barrdunl201,2,36.7,25.3
04barrdunl201,3,36.4,25.4
04barrdunl201,4,37.8,25.1
04barrdunl202,1,35.0,25.2
04barrdunl202,2,35.5,25.0
04barrdunl202,3,33.9,24.8
04barrdunl202,4,35.3,24.8
04barrdunl204,1,37.1,25.9
04barrdunl204,2,36.6,25.9
04barrdunl204,3,35.9,26.0
04barrdunl204,4,36.3,25.8
04barrdunl209,1,36.1,25.8
04barrdunl209,2,36.6,25.9
04barrdunl209,3,36.0,26.0
04barrdunl209,4,35.7,25.5
04barrdunl210,1,35.5,24.9
04barrdunl210,2,37.0,25.0
04barrdunl210,3,34.8,25.2
04barrdunl210,4,36.4,24.6
04barrdunl212,1,39.1,26.1
04barrdunl212,2,38.1,27.0
04barrdunl212,3,38.5,27.4
04barrdunl212,4,37.9,27.4
04barrdunl214,1,35.2,24.8
04barrdunl214,2,35.2,24.9
04barrdunl214,3,36.4,24.8
04barrdunl214,4,35.6,24.8
04barrdunl256,1,35.3,26.2
04barrdunl256,2,35.8,25.7
04barrdunl256,3,36.1,25.4
04barrdunl256,4,36.2,25.7
04barrdunl303,1,36.8,25.3
04barrdunl303,2,35.4,25.2
04barrdunl303,3,36.2,25.3
04barrdunl303,4,34.9,25.2
04barrdunl304,1,38.0,25.2
04barrdunl304,2,37.5,25.0
04barrdunl304,3,36.6,25.3
04barrdunl304,4,38.1,24.8
04barrdunl305,1,36.8,25.6
04barrdunl305,2,36.6,25.3
04barrdunl305,3,36.7,25.8
04barrdunl305,4,36.6,25.5
04barrdunl308,1,36.4,25.7
04barrdunl308,2,37.0,25.5
04barrdunl308,3,36.5,26.0
04barrdunl308,4,36.9,25.4
04barrdunl318,1,36.9,25.4
04barrdunl318,2,36.8,25.0
04barrdunl318,3,36.3,25.1
04barrdunl318,4,36.4,25.1
04barrdunl406,1,36.8,25.7
04barrdunl406,2,36.7,25.5
04barrdunl406,3,37.3,25.5
04barrdunl406,4,37.4,25.8
04barrdunl413,1,35.0,26.2
04barrdunl413,2,35.2,25.7
04barrdunl413,3,35.6,26.0
04barrdunl413,4,35.5,25.6
04barrlbdo114,1,43.7,31.0
04barrlbdo114,2,43.3,30.6
04barrlbdo114,3,42.6,31.4
04barrlbdo114,4,42.2,31.0
04barrlbdo348,1,42.6,31.1
04barrlbdo348,2,43.8,30.6
04barrlbdo348,3,44.8,30.6
04barrlbdo348,4,43.3,32.0
04barrlbdo429,1,38.2,30.3
04barrlbdo429,2,43.2,29.7
04barrlbdo429,3,43.1,29.9
04barrlbdo429,4,45.2,29.1
04barrpesa010,1,37.0,26.1
04barrpesa010,2,37.3,26.1
04barrpesa010,3,38.0,26.2
04barrpesa010,4,38.0,26.2
04barrpesa023,1,37.0,26.5
04barrpesa023,2,38.5,26.3
04barrpesa023,3,37.3,26.2
04barrpesa023,4,35.8,26.0
04barrpesa031,1,37.7,26.6
04barrpesa031,2,37.7,26.8
04barrpesa031,3,39.0,27.1
04barrpesa031,4,39.0,26.8
04barrpesa034,1,38.5,26.0
04barrpesa034,2,40.2,26.0
04barrpesa034,3,38.8,26.3
04barrpesa034,4,39.4,25.9
04barrpesa075,1,36.1,26.1
04barrpesa075,2,36.9,26.3
04barrpesa075,3,36.5,26.2
04barrpesa075,4,35.5,26.0
04barrpesa117,1,36.1,26.6
04barrpesa117,2,36.0,26.5
04barrpesa117,3,37.3,26.7
04barrpesa117,4,37.1,26.9
04barrpesa119,1,36.9,26.9
04barrpesa119,2,35.8,26.6
04barrpesa119,3,36.1,26.5
04barrpesa119,4,36.0,26.5
04barrpesa226,1,37.5,26.8
04barrpesa226,2,38.0,26.9
04barrpesa226,3,37.4,26.9
04barrpesa226,4,37.2,26.8
04barrpesa229,1,38.1,27.4
04barrpesa229,2,37.3,27.1
04barrpesa229,3,37.9,27.2
04barrpesa229,4,36.5,27.3
04barrpesa249,1,36.9,26.9
04barrpesa249,2,40.9,30.6
04barrpesa249,3,38.0,36.7
04barrpesa249,4,38.1,27.0
04barrpesa319,1,37.1,25.8
04barrpesa319,2,37.2,26.3
04barrpesa319,3,34.8,27.1
04barrpesa319,4,39.0,26.2
04barrpesa342,1,38.5,26.7
04barrpesa342,2,37.2,25.9
04barrpesa342,3,38.3,26.2
04barrpesa342,4,37.0,26.7
04barrpesa346,1,39.1,26.6
04barrpesa346,2,38.2,26.9
04barrpesa346,3,39.3,26.9
04barrpesa346,4,37.9,26.2
04barrpesa347,1,37.9,24.9
04barrpesa347,2,38.1,25.2
04barrpesa347,3,37.8,25.4
04barrpesa347,4,38.2,25.3
04barrpesa351,1,39.3,27.3
04barrpesa351,2,38.5,27.4
04barrpesa351,3,38.7,27.1
04barrpesa351,4,38.5,27.4
04barrpesa353,1,37.9,26.8
04barrpesa353,2,38.3,26.9
04barrpesa353,3,37.3,26.3
04barrpesa353,4,37.9,26.7
04barrpesa410,1,38.6,26.5
04barrpesa410,2,37.7,26.5
04barrpesa410,3,39.1,26.7
04barrpesa416,1,36.0,26.5
04barrpesa416,2,36.5,26.4
04barrpesa416,3,36.9,26.8
04barrpesa416,4,36.0,26.4
04barrpesa420,1,37.1,27.0
04barrpesa420,2,38.2,27.0
04barrpesa420,3,36.1,27.2
04barrpesa420,4,38.3,25.7
04barrpesa422,1,35.4,26.6
04barrpesa422,2,37.1,26.6
04barrpesa422,3,35.5,27.0
04barrpesa422,4,36.4,26.3
04barrpesa427,1,36.9,26.2
04barrpesa427,2,38.5,27.0
04barrpesa427,3,39.3,26.8
04barrpesa427,4,37.6,27.1
04barrpesa442,1,35.6,26.9
04barrpesa442,2,34.9,26.1
04barrpesa442,3,35.6,26.0
04barrreph003,1,32.4,22.4
04barrreph003,2,34.1,22.2
04barrreph003,3,31.6,22.7
04barrreph003,4,31.9,22.2
04barrreph006,1,31.5,22.6
04barrreph006,2,32.5,22.3
04barrreph006,3,32.0,22.7
04barrreph006,4,32.8,22.5
04barrreph007,1,33.0,21.9
04barrreph007,2,31.8,21.9
04barrreph007,3,32.3,22.0
04barrreph007,4,31.3,22.1
04barrreph009,1,29.4,21.9
04barrreph009,2,29.7,21.7
04barrreph009,3,28.9,22.0
04barrreph009,4,30.2,21.0
04barrreph011,1,30.7,21.9
04barrreph011,2,31.2,21.7
04barrreph011,3,31.7,21.5
04barrreph011,4,31.1,22.0
04barrreph014,1,30.3,21.9
04barrreph014,2,30.5,22.0
04barrreph014,3,30.3,21.6
04barrreph014,4,30.2,22.4
04barrreph015,1,33.1,22.5
04barrreph015,2,34.2,22.2
04barrreph015,3,32.9,22.1
04barrreph015,4,33.8,22.7
04barrreph016,1,33.3,21.2
04barrreph016,2,34.2,21.3
04barrreph016,3,33.8,21.3
04barrreph016,4,33.2,21.2
04barrreph018,1,30.6,21.9
04barrreph018,2,30.5,21.6
04barrreph018,3,32.1,22.3
04barrreph018,4,32.0,21.8
04barrreph019,1,31.2,23.4
04barrreph019,2,31.8,23.4
04barrreph019,3,31.5,23.8
04barrreph019,4,31.4,23.7
04barrreph020,1,31.5,22.6
04barrreph020,2,31.4,22.2
04barrreph020,3,30.5,21.8
04barrreph020,4,31.0,22.5
04barrreph021,1,34.6,22.1
04barrreph021,2,33.1,22.0
04barrreph021,3,32.9,21.9
04barrreph021,4,33.6,22.0
04barrreph026,1,35.4,23.7
04barrreph026,2,35.3,23.7
04barrreph026,3,34.4,23.2
04barrreph026,4,34.7,22.9
04barrreph028,1,32.9,22.6
04barrreph028,2,31.2,22.8
04barrreph028,3,31.4,22.6
04barrreph028,4,32.5,22.1
04barrreph032,1,31.8,21.8
04barrreph032,2,32.1,21.8
04barrreph032,3,31.2,21.2
04barrreph032,4,32.3,21.6
04barrreph035,1,30.0,22.2
04barrreph035,2,30.4,22.2
04barrreph035,3,30.4,22.3
04barrreph035,4,31.6,22.5
04barrreph110,1,32.6,22.4
04barrreph110,2,30.1,21.5
04barrreph110,3,28.8,21.9
04barrreph110,4,31.9,22.1
04barrreph118,1,32.2,24.5
04barrreph118,2,32.5,23.9
04barrreph118,3,31.8,24.6
04barrreph118,4,32.2,24.1
04barrreph203,1,34.4,23.2
04barrreph203,2,33.9,22.7
04barrreph203,3,35.0,22.8
04barrreph203,4,35.0,23.0
04barrreph208,1,30.6,23.1
04barrreph208,2,30.9,23.0
04barrreph208,3,30.7,23.6
04barrreph208,4,29.7,23.0
04barrreph215,1,33.3,23.3
04barrreph215,2,34.6,23.6
04barrreph215,3,33.8,23.9
04barrreph215,4,34.8,24.0
04barrreph216,1,31.6,22.9
04barrreph216,2,33.4,22.4
04barrreph216,3,32.5,22.2
04barrreph216,4,31.4,22.1
04barrreph218,1,29.6,21.9
04barrreph218,2,31.3,20.8
04barrreph218,3,31.1,22.0
04barrreph218,4,30.3,22.1
04barrreph219,1,31.5,22.3
04barrreph219,2,31.0,22.3
04barrreph219,3,29.1,22.3
04barrreph219,4,31.6,22.2
04barrreph220,1,30.6,22.5
04barrreph220,2,29.8,22.7
04barrreph220,3,29.5,22.6
04barrreph220,4,29.0,22.8
04barrreph223,1,31.4,22.6
04barrreph223,2,31.7,23.1
04barrreph223,3,32.5,23.3
04barrreph223,4,32.8,22.6
04barrreph224,1,34.1,22.5
04barrreph224,2,33.0,21.5
04barrreph224,3,34.7,22.6
04barrreph224,4,33.2,21.9
04barrreph225,1,33.7,23.1
04barrreph225,2,33.9,22.5
04barrreph225,3,34.3,22.8
04barrreph225,4,33.8,23.1
04barrreph227,1,31.4,22.5
04barrreph227,2,28.9,21.2
04barrreph227,3,30.9,22.3
04barrreph228,1,32.1,22.0
04barrreph228,2,33.1,22.1
04barrreph231,1,32.9,23.2
04barrreph231,2,33.2,22.2
04barrreph231,3,32.9,22.0
04barrreph231,4,31.6,22.5
04barrreph235,1,33.0,22.0
04barrreph235,2,32.7,22.1
04barrreph235,3,33.0,21.8
04barrreph235,4,32.1,22.2
04barrreph236,1,29.8,22.9
04barrreph236,2,31.0,22.9
04barrreph236,3,31.0,22.7
04barrreph236,4,30.7,22.5
04barrreph237,1,32.5,22.3
04barrreph237,2,32.0,22.7
04barrreph237,3,32.2,23.0
04barrreph237,4,31.3,23.0
04barrreph238,1,32.9,22.6
04barrreph238,2,32.3,22.9
04barrreph238,3,31.8,22.1
04barrreph238,4,32.7,22.4
04barrreph240,1,31.5,22.7
04barrreph240,2,31.7,23.1
04barrreph240,3,32.6,22.4
04barrreph240,4,32.1,23.0
04barrreph241,1,33.9,22.7
04barrreph241,2,33.5,22.3
04barrreph241,3,32.9,22.9
04barrreph241,4,33.7,22.5
04barrreph243,1,31.5,23.1
04barrreph243,2,31.7,23.4
04barrreph243,3,31.2,22.7
04barrreph245,1,34.2,24.0
04barrreph245,2,33.2,24.3
04barrreph245,3,33.1,24.0
04barrreph245,4,35.1,23.7
04barrreph246,1,31.2,22.6
04barrreph246,2,30.8,22.5
04barrreph246,3,31.1,22.5
04barrreph246,4,31.3,22.3
04barrreph247,1,31.4,21.8
04barrreph247,2,32.1,21.1
04barrreph247,3,32.3,22.0
04barrreph247,4,31.4,22.4
04barrreph302,1,32.5,22.3
04barrreph302,2,31.8,22.2
04barrreph306,1,32.0,22.0
04barrreph306,2,32.0,22.3
04barrreph306,3,31.6,22.5
04barrreph306,4,30.3,22.0
04barrreph310,1,33.4,22.6
04barrreph310,2,33.9,22.3
04barrreph310,3,33.6,22.1
04barrreph310,4,33.6,22.3
04barrreph311,1,31.5,22.8
04barrreph311,2,31.8,22.9
04barrreph311,3,31.0,22.8
04barrreph311,4,31.7,22.8
04barrreph313,1,32.1,22.9
04barrreph313,2,33.5,23.4
04barrreph313,3,33.0,23.0
04barrreph313,4,33.1,22.6
04barrreph314,1,30.7,22.0
04barrreph314,2,30.6,22.1
04barrreph314,3,31.0,22.2
04barrreph314,4,30.6,22.3
04barrreph315,1,33.3,22.9
04barrreph315,2,33.1,23.3
04barrreph315,3,33.0,23.6
04barrreph315,4,33.1,22.8
04barrreph323,1,33.0,23.0
04barrreph323,2,32.3,22.8
04barrreph323,3,33.2,22.9
04barrreph324,1,31.4,21.9
04barrreph324,2,32.7,22.0
04barrreph324,3,33.4,21.6
04barrreph324,4,32.7,21.3
04barrreph326,1,31.4,22.1
04barrreph326,2,31.7,21.9
04barrreph326,3,32.5,21.6
04barrreph326,4,31.4,21.7
04barrreph327,1,33.7,23.3
04barrreph327,2,33.5,22.9
04barrreph327,3,32.9,23.2
04barrreph327,4,32.7,22.5
04barrreph328,1,32.3,22.3
04barrreph328,2,31.3,22.2
04barrreph328,3,31.9,22.2
04barrreph328,4,31.6,21.7
04barrreph329,1,31.0,22.0
04barrreph329,2,29.9,22.1
04barrreph329,3,29.8,21.9
04barrreph329,4,30.3,22.4
04barrreph331,1,30.9,22.3
04barrreph331,2,30.9,22.8
04barrreph331,3,31.5,22.1
04barrreph331,4,31.1,21.8
04barrreph332,1,32.5,23.5
04barrreph332,2,32.5,23.1
04barrreph332,3,32.1,23.3
04barrreph332,4,33.0,23.2
04barrreph333,1,33.3,22.3
04barrreph333,2,33.6,22.4
04barrreph333,3,34.4,22.5
04barrreph334,1,30.0,21.5
04barrreph334,2,30.6,21.6
04barrreph334,3,31.8,21.3
04barrreph334,4,31.1,21.5
04barrreph335,1,34.1,22.2
04barrreph335,2,32.8,22.3
04barrreph335,3,34.1,21.9
04barrreph335,4,33.9,22.2
04barrreph336,1,30.3,22.3
04barrreph338,1,30.9,22.7
04barrreph338,2,32.4,22.2
04barrreph338,3,31.8,22.8
04barrreph338,4,30.5,22.9
04barrreph340,2,32.4,21.7
04barrreph340,3,31.6,22.5
04barrreph340,4,32.1,22.8
04barrreph341,1,32.5,20.9
04barrreph341,2,31.6,22.0
04barrreph341,3,31.5,22.3
04barrreph343,1,32.8,22.8
04barrreph343,2,32.4,22.7
04barrreph343,3,34.2,22.3
04barrreph343,4,32.4,22.4
04barrreph344,1,33.0,22.7
04barrreph344,2,33.3,22.5
04barrreph344,3,33.2,22.6
04barrreph344,4,33.6,22.4
04barrreph349,1,31.1,21.7
04barrreph349,2,31.1,21.9
04barrreph349,3,31.7,21.7
04barrreph349,4,30.0,21.8
04barrreph350,1,33.7,23.2
04barrreph350,2,33.6,23.2
04barrreph350,3,33.4,23.2
04barrreph350,4,33.3,23.1
04barrreph409,1,34.9,23.3
04barrreph409,2,33.4,23.2
04barrreph409,3,33.7,23.6
04barrreph409,4,31.6,23.8
04barrreph411,1,31.2,23.0
04barrreph411,2,30.6,23.0
04barrreph411,3,31.6,22.1
04barrreph411,4,31.1,22.8
04barrreph414,1,31.6,22.0
04barrreph414,2,31.7,22.1
04barrreph414,3,31.8,21.6
04barrreph414,4,31.7,21.7
04barrreph415,1,32.0,21.0
04barrreph415,2,33.0,21.4
04barrreph415,3,32.5,21.2
04barrreph415,4,32.4,21.5
04barrreph417,1,30.3,21.1
04barrreph417,2,29.9,21.2
04barrreph417,3,31.1,21.2
04barrreph417,4,28.9,21.8
04barrreph418,1,31.8,22.0
04barrreph418,2,31.8,21.8
04barrreph418,3,32.5,21.8
04barrreph418,4,31.5,22.2
04barrreph419,1,32.3,22.5
04barrreph419,2,32.1,22.0
04barrreph419,3,30.8,21.9
04barrreph419,4,32.3,22.2
04barrreph421,1,32.5,22.1
04barrreph421,2,32.5,21.1
04barrreph421,3,32.5,21.5
04barrreph421,4,33.5,21.7
04barrreph423,1,31.7,21.8
04barrreph423,2,30.0,22.0
04barrreph423,3,30.4,22.1
04barrreph423,4,32.1,21.7
04barrreph424,1,33.4,22.5
04barrreph424,2,32.2,22.7
04barrreph424,3,32.1,22.5
04barrreph424,4,32.2,22.9
04barrreph425,1,31.0,22.0
04barrreph425,2,31.4,22.2
04barrreph425,3,31.3,22.2
04barrreph425,4,31.1,22.5
04barrreph426,1,32.0,22.8
04barrreph426,2,31.3,22.8
04barrreph426,3,31.9,23.1
04barrreph426,4,31.9,23.2
04barrreph428,1,31.1,22.1
04barrreph428,2,31.7,22.6
04barrreph428,3,30.0,21.8
04barrreph430,1,32.6,22.3
04barrreph430,2,31.6,20.3
04barrreph430,3,32.1,22.0
04barrreph430,4,33.0,21.9
04barrreph431,1,34.3,22.8
04barrreph431,2,33.9,22.1
04barrreph431,3,34.3,22.8
04barrreph431,4,33.2,22.7
04barrreph432,1,31.7,22.2
04barrreph432,2,32.1,22.4
04barrreph432,3,31.9,22.2
04barrreph432,4,31.5,21.8
04barrreph436,1,32.0,21.8
